patients.address_found,patients.admitted_at,patients.admitted_by,patients.city_found,patients.clinical_signs,patients.common_name,patients.county_found,patients.diagnosis,patients.disposition,patients.found_at,patients.keywords,patients.lat_found,patients.lng_found,patients.name,patients.notes_about_rescue,patients.reason_for_disposition,patients.reasons_for_admission,patients.release_type,species.genus,species.species
98 Smallwood Lane,2024-09-13 16:00:00,KS,Berryville,,Eastern Gray Squirrel,Clarke,S - Non-infectious Disease,Released,2024-09-13,"B - Baby, finder negligence",,,,"Found 3 initially (1 dead, 2 alive) on the ground after a storm on 8/11, brought both inside (suspected orphaned), and put into a crate separate from domestic animals (2 dogs, 1 cat, finder denies interactions between EGS and domestics, UTD on rabies vaccinations per finder. She began feeding Pedialyte and Fox Valley squirrel formula. Yesterday, one of the squirrels (male per finder) became lethargic and suddenly died (buried on property). Finder brought remaining live squirrel to us today. Please see continued care treatment logs for HD report information.",Ready for release,"Initially suspected orphaned, human negligence (feeding / caring for since 8/11)",,Sciurus,carolinensis
21116 Trappe Rd,2024-09-13 16:15:00,KS,Upperville,,Woodland Box Turtle,Loudoun,T - Unknown Trauma,Euthanized in 24hr,2024-09-13,suspect HBV,,,,,Poor Prognosis,Suspect HBV,,Terrapene,Carolina
16070 Back Rd,2024-09-14 09:47:00,AW,Strasburg,,American Crow,Shenandoah,U - Unknown,Dead on arrival,2024-09-13,,,,,,Dead on arrival,"Down, unable to fly and flicking wing",,Corvus,brachyrhynchos
Foxborough Rd.,2024-09-14 09:47:00,AW,Leesburg,,Eastern Gray Squirrel,Loudoun,T - Unknown Trauma,Dead on arrival,2024-09-14,suspect HBV,,,,No exposures reported,Dead on arrival,Suspected HBV,,Sciurus,carolinensis
15301 Limestone School Rd.,2024-09-14 13:28:00,AW,Leesburg,,Eastern Screech Owl,Loudoun,T - Unknown Trauma,Released,2024-09-14,suspect HBV,,,,,Continued Care,Susp. HBV,,Megascops,asio
43120 Binkley Cir.,2024-09-14 13:35:00,AW,Leesburg,,Eastern Gray Squirrel,Loudoun,T - Unknown Trauma,Euthanized in 24hr,2024-09-14,B - Baby,,,,,Poor Prognosis,"found stumbling around in yard, no fur on tail",,Sciurus,carolinensis
Overdale Way,2024-09-14 14:56:00,AW,Alexandria,,Mourning Dove,Alexandria,T - Unknown Trauma,Euthanized in 24hr,2024-09-14,,,,,,Poor Prognosis,"Unable to perch, increased respiratory rate",,Zenaida,macroura
Locke's Mill Rd. & Briggs Rd.,2024-09-14 16:13:00,AW,Berryville,,Woodland Box Turtle,Clarke,H - Hit by Vehicle,Euthanized in 24hr,2024-09-14,,,,,,Poor Prognosis,HBV,,Terrapene,Carolina
1204 Artz Rd,2024-09-15 09:58:00,KS,Woodstock,,Eastern Gray Squirrel,Shenandoah,S - Non-infectious Disease,Euthanized in 24hr,2024-09-13,"B - Baby, finder negligence, small",,,,"Finder initially noticed 2 baby squirrels in his yard on Fri (9/13), but left them there thinking that mom would come back, then found 1 deceased on 9/14 and began feeding the baby EGS who was still alive last PM. Finder notes he picked up the baby EGS w/ bare hands, but denies any bites/licks/scratches by the EGS and denies any domestic animal interactions.",Poor Prognosis,"Suspected orphaned since 9/13, human negligence (feeding)",,Sciurus,carolinensis
43803 Michener Dr,2024-09-15 10:31:00,KS,Ashburn,,Eastern Gray Squirrel,Loudoun,T - Unknown Trauma,Euthanized in 24hr,2024-09-14,suspect HBV,,,,"EGS was brought to Kristi Titus last PM (9/14) from LCAS, reportedly ""just not moving."" No exposures reported by Kristi.",Poor Prognosis,Lethargic,,Sciurus,carolinensis
Across from Piccadilly's Public House & Restaurant,2024-09-15 10:33:00,KS,Winchester,,Eastern Gray Squirrel,Frederick,S - Non-infectious Disease,Euthanized +24hr,2024-09-10,"B - Baby, finder negligence, orphan, abandoned",,,,"Finder reports she found this EGS on the ground, unable to move, covered in flies and panting. She initially thought he/she was not alive, so brought the EGS inside and kept in an enclosure in her house separate from her service dog. The finder does report the EGS scratched her on both hands during hand feeds, has been kissing/snuggling the EGS, and handling without gloves. She denies any interactions between the EGS and her service dog who she reports is UTD on rabies vaccinations.",rabies testing,"Found on the ground, not moving much and covered in flies.",,Sciurus,carolinensis
360 Station Ln,2024-09-15 11:00:00,KS,Linden,,Eastern Gray Squirrel,Warren,T - Unknown Trauma,Euthanized in 24hr,2024-09-15,suspect HBV,,,,"Finder denies any direct contact/exposures w/ the EGS, as she used a shovel to put the EGS into a box without any reported bare skin contact w/ the EGS, nor any reported bites/licks/scratches by the EGS.",Poor Prognosis,"Squirrel found w/ gash on their head, lying in a creek",,Sciurus,carolinensis
197 South Loudoun St,2024-09-15 11:50:00,KS,Strasburg,,Northern Cardinal,Shenandoah,W - Window Strike,Released,2024-09-15,,,,,,Ready for release,"Wall strike then flew into the house, injured tail and leg",,Cardinalis,cardinalis
15 Farmington Ct,2024-09-15 11:53:00,KS,Stafford,,Red-shouldered Hawk,Stafford,T - Unknown Trauma,Euthanized in 24hr,2024-09-14,,,,,,Poor Prognosis,"Found with left wing wound (old/scabbed), unable to fly, walked into garage",,Buteo,lineatus
57 Autumn Drive,2024-09-15 11:58:00,KS,Stafford,,Eastern Gray Squirrel,Stafford,S - Non-infectious Disease,Released,2024-09-15,"B - Baby, orphan, abandoned",,,,Officer Bryce did not give any information to Holly except found location.,Ready for release,Found baby EGS with deceased sibling nearby,,Sciurus,carolinensis
181 Tankard Lane,2024-09-15 12:00:00,KS,Winchester,,Cape May Warbler,Frederick,W - Window Strike,Released,2024-09-15,,,,,,Ready for release,Confirmed window strike,Hard,Setophaga,tigrina
750 Hunting Ridge Rd,2024-09-15 13:26:00,KS,Winchester,,Sharp-shinned Hawk,Frederick,W - Window Strike,Euthanized in 24hr,2024-09-15,,,,,,Poor Prognosis,"Window strike (observed), stunned/downed for a minute, then flew into a nearby tree when approached, but was hanging upside down with eyes closed and unable to perch",,Accipiter,striatus
38287 Hunts End Pl,2024-09-15 13:31:00,KS,Leesburg,,Virginia Opossum,Loudoun,T - Unknown Trauma,Euthanized in 24hr,2024-09-15,B - Baby,,,,"Finder denies any direct contact/exposures, as she used a towel to cover the possum and pick up then place into a  box without any reported bare skin contact nor any bites/licks/scratches. Finder denies any interactions w/ domestic animals.",Poor Prognosis,"Found lying on a walking trail not moving, face injury",,Didelphis,virginiana
10381 Twisted Oak Ln,2024-09-15 14:01:00,KS,Marshall,,Ruby-throated Hummingbird,Fauquier,D - Domestic animal attack,Euthanized in 24hr,2024-09-14,cat attack,,,,,Poor Prognosis,Caught by cat on 9/14,,Archilochus,colubris
Corner of Fenestra Place and Barrymore Ct.,2024-09-15 14:38:00,KS,Gainesville,,Eastern Ratsnake,Prince William,M - Human non-intentional,Euthanized +24hr,2024-08-21,"Lawnmower, landscaping",,,,,Poor Prognosis,"This came in to Olivia, her neighbor hit with a lawnmower on the corner of Fenestra Place and Barrymore Ct.",,Pantherophis,alleghaniensis
8712 Plantation Lane,2024-09-15 14:43:00,KS,Manassas,,Scarlet Tanager,Prince William,W - Window Strike,Released,2024-09-15,,,,,"Found at the back of the building by the windows, near the playground",Ready for release,Window strike. Hit window and landed behind the HVAC equipment. Bleeding and stunned when found.,,Piranga,olivacea
43514 Squirrel Ridge Pl,2024-09-15 15:05:00,KS,Leesburg,,Northern Cardinal,Loudoun,T - Unknown Trauma,Died in 24hr,2024-09-15,suspect HBV,,,,,Natural Death,Found flying horizontally with difficulty attaining vertical flight,,Cardinalis,cardinalis
21022 Big Pines Ln,2024-09-15 16:12:00,KS,Leesburg,,Woodland Box Turtle,Loudoun,M - Human non-intentional,Released,2024-09-15,Lawnmower,,,,,Ready for release,"Struck with lawn mower blade, carapace injury",Hard,Terrapene,Carolina
2327 Gun Barrel Rd,2024-09-16 09:01:00,AE,White Post,,Woodland Box Turtle,Clarke,H - Hit by Vehicle,Released,2024-09-15,trauma,,,,Left in after hours drop box,Ready for release,"Ran over by tractor, crack with blood on top of shell",Hard,Terrapene,Carolina
13194 Sheffield Lane,2024-09-16 09:29:00,KS,Sumerduck,,Carolina Wren,Fauquier,M - Human non-intentional,Euthanized in 24hr,2024-09-15,glue trap,,,,,Poor Prognosis,Stuck on glue trap since last PM (9/15),,Thryothorus,ludovicianus
100 Wrights Run Dr,2024-09-16 10:45:00,KS,White Post,,Eastern Wood Pewee,Frederick,T - Unknown Trauma,Euthanized +24hr,2024-09-16,,,,,,Poor Prognosis,"Found lateral outside this AM, unable to fly",,Contopus,virens
11302 Crest Hill Rd,2024-09-16 12:54:00,KS,Marshall,,White-footed Mouse,Fauquier,B - Baby,Released,2024-09-13,"B - Baby, finder negligence, abducted",,,,"Finder reports she picked up the mouse with bare hands and that the mouse licked her while feeding kitten formula, but denies any bites / scratches. Finder denies any interactions w/ domestic animals. After speaking with vet team, no HD report necessary at this time.",Ready for release,"Found alone in a woodpile, suspected orphaned, human negligence (fed kitten formula since 9/13)",Hard,Peromyscus,leucopus
144 Homeplace Ct,2024-09-16 12:57:00,KS,Winchester,,Woodland Box Turtle,Frederick,S - Non-infectious Disease,Released,2024-09-16,aural abscess,39.086555,-78.139495,,,Ready for release,Found with aural abscess,,Terrapene,Carolina
694 Ironmine Lane,2024-09-16 13:13:00,KS,Hedgesville,,Veery,Morgan,T - Unknown Trauma,Euthanized in 24hr,2024-09-16,suspect cat attack,,,,,Poor Prognosis,"Found on ground, suspect leg injury",,Catharus,fuscescens
18827 Farnham Ct,2024-09-16 13:13:00,KS,Leesburg,,Mourning Dove,Loudoun,D - Domestic animal attack,Euthanized in 24hr,2024-09-16,"cat attack, B - Baby",,,,,Poor Prognosis,Caught by cat,,Zenaida,macroura
242 Princess Anne St,2024-09-16 13:32:00,KS,Fredericksburg,,Virginia Opossum,Spotsylvania,T - Unknown Trauma,Euthanized +24hr,2024-09-15,"B - Baby, suspect HBV",,,,"Finder denies any direct contact / exposures, as she was able to cover the VAOP w/ a jacket and coerce the VAOP into a crate using jingling keys, without any bare skin contact nor any bites, licks, or scratches reported. Finder denies any domestic animal interactions w/ the VAOP.",Poor Prognosis,"Found in the middle of the road, suspect HBV, bulging left eye and bloody nose",,Didelphis,virginiana
184 Narrow Lane,2024-09-16 16:17:00,KS,Falling Waters,,Northern Cardinal,Berkeley,D - Domestic animal attack,Died in 24hr,2024-09-16,cat attack,,,,,Natural Death,Caught by cat,,Cardinalis,cardinalis
2021 Mt Carmel Lane,2024-09-16 16:55:00,KS,Boyce,,American Goldfinch,Clarke,T - Unknown Trauma,Euthanized in 24hr,2024-09-16,suspect cat attack,,,,,Poor Prognosis,"Found sitting in the grass near their porch (no reported cats around, but their house does back up to woods with lots of animals)",,Spinus,tristis
11th Fairway Cart Path,2024-09-17 09:23:00,AW,Rasp Falls,,Red Fox,Loudoun,T - Unknown Trauma,Euthanized in 24hr,2024-09-17,,,,,,Poor Prognosis,Injured/lethargic,,Vulpes,vulpes
Hume Rd.,2024-09-17 09:25:00,AW,Hume,,Woodland Box Turtle,Fauquier,H - Hit by Vehicle,Euthanized in 24hr,2024-09-17,,,,,,Poor Prognosis,HBV,,Terrapene,Carolina
610 Wilderness Rd,2024-09-17 10:06:00,KS,Linden,,Eastern Gray Squirrel,Warren,T - Unknown Trauma,Euthanized in 24hr,2024-09-17,suspect HBV,,,,"Finder denies any direct contact / exposures, as she was able to cover the EGS with a towel to pick him/her up and place into a box without any reported bare skin contact w/ the EGS, nor any bites, licks, or scratches by the EGS. She denies any interactions between the EGS and domestic animals.",Poor Prognosis,"Suspect HBV, saw a truck go over the location where the EGS was lying in the road",,Sciurus,carolinensis
1504 Handley Ave.,2024-09-17 10:25:00,AW,Winchester,,Eastern Cottontail,Frederick,D - Domestic animal attack,Euthanized in 24hr,2024-09-17,"B - Baby, cat attack, finder negligence",,,,,Poor Prognosis,Cat brought injured rabbit to finder,,Sylvilagus,floridanus
Mclellan St.,2024-09-17 10:32:00,AW,Berryville,,House Sparrow,Clarke,X - Invasive,Euthanized in 24hr,2024-09-16,Mycoplasma,,,,,Invasive,Unable to see,,Passer,domesticus
"Karen only knows Peanut was found in Spotsylvania County, no other street address.",2024-09-17 11:40:00,KS,Spotsylvania,,Virginia Opossum,Spotsylvania,S - Non-infectious Disease,Released,2024-08-27,B - Baby,,,Peanut,"""Peanut"", Karen suspects is 3-3.5 months old. This VAOP came from individual rehabilitator, so no contact / exposure information obtained.",Continued Care,"Karen Brace requested vet check for possible malabsorption issue, as this VAOP has very thin hair, but is gaining weight",Returned to rescuer,Didelphis,virginiana
225 Sister Chipmunk Ln,2024-09-17 12:10:00,AW,Clearbrook,,Woodland Box Turtle,Frederick,S - Non-infectious Disease,Released,2024-09-17,aural abscess,,,,,Ready for release,Aural Abscesses,,Terrapene,Carolina
20333 Tanager Place,2024-09-17 12:33:00,KS,Leesburg,,Mourning Dove,Loudoun,D - Domestic animal attack,Released,2024-09-17,"cat attack, B - Baby",,,,,Ready for release,"Caught by a cat, injured Left wing",,Zenaida,macroura
Found on a walking trail behind Dockside Terrace (coordinates below),2024-09-17 14:04:00,KS,Sterling,,Woodland Box Turtle,Fairfax,T - Unknown Trauma,Pending,2024-09-17,,39.040332,-77.354295,,,,Back right leg appeared swollen and injured,,Terrapene,Carolina
297 Cedar Mtn. Ln.,2024-09-17 14:19:00,KS,Front Royal,,Northern Cardinal,Warren,D - Domestic animal attack,Released,2024-09-17,"dog attack, B - Baby",,,,,Ready for release,Confirmed dog attack,,Cardinalis,cardinalis
4723 Benjamin Cross Ct.,2024-09-17 15:47:00,AW,Chantilly,,Eastern Chipmunk,Fairfax,T - Unknown Trauma,Euthanized in 24hr,2024-09-17,"B - Baby, suspect cat attack",,,,,Poor Prognosis,Found in backyard dragging rear legs,,Tamias,striatus
516 Ellen Dr.,2024-09-18 09:06:00,AW,Front Royal,,Woodland Box Turtle,Warren,H - Hit by Vehicle,Died +24hr,2024-09-18,trauma,,,,,Natural Death,HBV,,Terrapene,Carolina
19716 Forest Hill Ln,2024-09-18 09:11:00,AW,Bluemont,,Mourning Dove,Loudoun,D - Domestic animal attack,Euthanized in 24hr,2024-09-17,cat attack,,,,,Poor Prognosis,Cat attack,,Zenaida,macroura
597 Mcintosh Dr.,2024-09-18 11:54:00,AW,Linden,,Eastern Gray Squirrel,Warren,S - Non-infectious Disease,Euthanized in 24hr,2024-09-17,"congenital issue, abandoned, B - Baby",,,,"No reported bites, licks or scratches, only barehanded contact reported",Poor Prognosis,Came up to finder,,Sciurus,carolinensis
1611 Montmorency Dr.,2024-09-18 12:07:00,AW,Vienna,,Rose-breasted Grosbeak,Fairfax,W - Window Strike,Released,2024-09-18,,,,,,Ready for release,Window strike,Hard,Pheucticus,ludovicianus
13567 Mountain Rd,2024-09-18 14:31:00,AW,Lovettsville,,Eastern Milk Snake,Loudoun,M - Human non-intentional,Released,2024-09-18,glue trap,,,,,Ready for release,Stuck on glue trap,Hard,Lampropeltis,triangulum
2298 Millwood Pk,2024-09-18 14:34:00,AW,Winchester,,Woodland Box Turtle,Frederick,H - Hit by Vehicle,Euthanized in 24hr,2024-09-18,,,,,,Poor Prognosis,HBV,,Terrapene,Carolina
5639 Rapid Run Ct,2024-09-18 16:43:00,AW,Burke,,Eastern Gray Squirrel,Fairfax,T - Unknown Trauma,Died +24hr,2024-09-18,fell from nest,,,,,Natural Death,"Minor injuries related to falling from nest; skin abrasion, facial trauma",,Sciurus,carolinensis
5639 Rapid Run Ct,2024-09-18 16:43:00,AW,Burke,,Eastern Gray Squirrel,Fairfax,T - Unknown Trauma,Released,2024-09-18,fell from nest,,,,,Ready for release,"Minor injuries related to falling from nest; skin abrasion, facial trauma",,Sciurus,carolinensis
5639 Rapid Run Ct,2024-09-18 16:43:00,AW,Burke,,Eastern Gray Squirrel,Fairfax,T - Unknown Trauma,Released,2024-09-18,fell from nest,,,,,Ready for release,"Minor injuries related to falling from nest; skin abrasion, facial trauma",,Sciurus,carolinensis
100 Star Fort Dr.,2024-09-19 09:12:00,AW,Winchester,,Eastern Gray Squirrel,Frederick,T - Unknown Trauma,Euthanized in 24hr,2024-09-19,,,,,"No intake / mammal forms filled out for this EGS. Used information that was on a shipping label from the box, but unsure if there is any relation to the actual finder.",Poor Prognosis,"Unknown, found in drop box with no info",,Sciurus,carolinensis
6543 Macklin St.,2024-09-19 09:31:00,AW,Haymarket,,Mourning Dove,Prince William,D - Domestic animal attack,Euthanized in 24hr,2024-09-18,cat attack,,,,,Poor Prognosis,Cat attack,,Zenaida,macroura
115 Purdue Drive,2024-09-19 10:47:00,AW,Winchester,,Eastern Cottontail,Frederick,A - Abduction,Released,2024-09-19,"B - Baby, abducted, finder negligence",,,,,Ready for release,"""Unsafe"" in nest, finders took from nest due to location and dogs",,Sylvilagus,floridanus
115 Purdue Drive,2024-09-19 10:47:00,AW,Winchester,,Eastern Cottontail,Frederick,A - Abduction,Released,2024-09-19,"B - Baby, abducted, finder negligence",,,,,,"""Unsafe"" in nest, finders took from nest due to location and dogs",Hard,Sylvilagus,floridanus
115 Purdue Drive,2024-09-19 10:47:00,AW,Winchester,,Eastern Cottontail,Frederick,A - Abduction,Released,2024-09-19,"B - Baby, abducted, finder negligence",,,,,Ready for release,"""Unsafe"" in nest, finders took from nest due to location and dogs",,Sylvilagus,floridanus
115 Purdue Drive,2024-09-19 10:47:00,AW,Winchester,,Eastern Cottontail,Frederick,A - Abduction,Released,2024-09-19,"B - Baby, abducted, finder negligence",,,,,,"""Unsafe"" in nest, finders took from nest due to location and dogs",Hard,Sylvilagus,floridanus
Rt. 50 past Waterloo going west,2024-09-19 10:59:00,AW,Boyce,,Woodland Box Turtle,Clarke,H - Hit by Vehicle,Euthanized in 24hr,2024-09-19,,,,,Finder willing to release in found location,Poor Prognosis,Suspected HBV,,Terrapene,Carolina
178 Millrace Road,2024-09-19 12:00:00,AW,Stafford,,Snapping Turtle,Stafford,J - Intentional Human Attack,Released,2024-09-18,,,,,Holly called after dropping off the turtle to confirm that he had been repeatedly hit with a rock by a teenager. The Stafford County ACO's are currently trying to track down the teenager who was witnessed doing this.,Ready for release,Injured shell,Hard,Chelydra,Serpentina
1081 Parkway Blvd.,2024-09-19 12:01:00,AW,Stafford,,Double-crested Cormorant,Stafford,U - Unknown,Died in 24hr,2024-09-19,,,,,,Natural Death,Not able to fly,,Phalacrocorax,auritus
146 Storck Rd.,2024-09-19 12:03:00,AW,Fredericksburg,,Great Horned Owl,Stafford,T - Unknown Trauma,Euthanized in 24hr,2024-09-18,suspect HBV,,,,,Poor Prognosis,Suspect HBV,,Bubo,virginianus
11718 Lotus Ln.,2024-09-19 12:05:00,AW,Lovettsville,,Eastern Cottontail,Loudoun,D - Domestic animal attack,Euthanized in 24hr,2024-09-19,cat attack,,,,"Finder reports she picked up the ECT ""by the scruff"" w/ bare hands, but denied any bites, licks or scratches by the ECT. Finder reports her domestic cat did have the ECT in their mouth, but finder reports her cat is UTD on rabies vaccinations.",Poor Prognosis,Cat attack,,Sylvilagus,floridanus
10871 Meadow Walk Ln.,2024-09-19 12:06:00,AW,Bristow,,Groundhog,Prince William,H - Hit by Vehicle,Euthanized +24hr,2024-09-18,,,,,"Finder answered ""no"" to all contact questions on mammal form.",Poor Prognosis,HBV,,Marmota,monax
Found near intersection of River Creek Pkwy & Rose Haven Pl (coordinates below),2024-09-19 13:34:00,KS,Leesburg,,Woodland Box Turtle,Loudoun,H - Hit by Vehicle,Euthanized in 24hr,2024-09-19,,39.10444,-77.507471,,,Poor Prognosis,HBV,,Terrapene,Carolina
827 Mountain Slope Ln,2024-09-19 13:40:00,KS,Fort Valley,,Woodland Box Turtle,Shenandoah,S - Non-infectious Disease,Died +24hr,2024-09-19,aural abscess,,,,,Natural Death,Found at door step w/ wound on right side of face,,Terrapene,Carolina
Intersection of Oakwood Dr and Woodfern Ct,2024-09-19 14:08:00,AE,Woodbridge,,Woodland Box Turtle,Prince William,T - Unknown Trauma,Euthanized +24hr,2024-09-19,suspect HBV,,,,,Poor Prognosis,Found on the side of the road,,Terrapene,Carolina
5826 15th Rd N,2024-09-19 14:20:00,AE,Arlington,,American Crow,Fairfax,T - Unknown Trauma,Euthanized in 24hr,2024-09-18,,,,,,Poor Prognosis,Broken beak and possible left wing injury,,Corvus,brachyrhynchos
2869 Parshall Rd,2024-09-19 14:44:00,KS,Berryville,,Woodland Box Turtle,Clarke,D - Domestic animal attack,Died +24hr,2024-09-19,dog attack,,,,,Ready for release,Dog attack,,Terrapene,Carolina
2311 Winchester Rd,2024-09-19 15:04:00,KS,Delaplane,,White-footed Mouse,Clarke,D - Domestic animal attack,Dead on arrival,2024-09-19,cat attack,,,,"Finder denies any direct contact/exposures to the mouse, but notes her cat did have the mouse in their mouth and believes she is UTD on rabies vaccination, but recommended follow up with their regular vet.",Dead on arrival,Cat attack,,Peromyscus,leucopus
2311 Winchester Rd,2024-09-19 15:06:00,KS,Delaplane,,Northern Ringneck Snake,Clarke,D - Domestic animal attack,Released,2024-09-19,cat attack,,,,,Ready for release,Cat attack,,Diadophis,Punctatus
7600 Marian Court,2024-09-19 15:07:00,KS,Falls Church,,Eastern Ratsnake,Fairfax,M - Human non-intentional,Transferred,2024-09-19,garden netting,,,,"Bill Crisp requested the ERS come to us, as he thinks it may require sutures.",Continued Care,Caught in garden netting,,Pantherophis,alleghaniensis
Old Yates Rd,2024-09-19 16:09:00,KS,Manassas,,Woodland Box Turtle,Prince William,I - Infectious Disease,Pending,2024-09-19,URI,,,,,,"Swollen face, bleeding from neck",,Terrapene,Carolina
Found in front of 14601 West Longview Dr,2024-09-19 16:09:00,KS,Woodbridge,,Northern Raccoon,Prince William,I - Infectious Disease,Euthanized in 24hr,2024-09-18,,,,,"PW County ACO brought to Olivia Lobalbo on PM of 9/18/24, then Olivia requested to transfer the NORA to us on AM of 9/19/24 due to large size of NORA and limited caging at her facility. No direct contact/exposures reported by Olivia Lobalbo, as she reports a warm jacket was placed over the raccoon to place him into a cardboard box without any reported bare skin contact w/ the NORA, nor any bites/licks/scratches by the NORA. The transporters deny any direct contact/exposures to the raccoon (used thick leather gloves to pick up the crate for transport without any reported bare skin contact, nor any bites/licks/scratches). There were no reported exposures to domestic animals by A.E.R.O.",Poor Prognosis,"Cannot walk / hold head up, scrapes and cuts on legs, twisted back legs (most likely broken), suspect HBV",,Procyon,lotor
Found on the side of the road next to 35444 Charles Town Pike,2024-09-20 11:38:00,KS,Purcellville,,Canada Goose,Loudoun,T - Unknown Trauma,Euthanized in 24hr,2024-09-20,suspect HBV,,,,,Poor Prognosis,"Suspected HBV, R wing droop, dull mentation",,Branta,canadensis
Found on Rt 7,2024-09-20 11:39:00,KS,Bluemont,,Woodland Box Turtle,Loudoun,H - Hit by Vehicle,Euthanized in 24hr,2024-09-20,,,,,,Poor Prognosis,"HBV, bleeding, suspect head injury",,Terrapene,Carolina
1568 Gerrardstown Rd,2024-09-20 12:08:00,KS,Gerrardstown,,Great Horned Owl,Jefferson,T - Unknown Trauma,Euthanized in 24hr,2024-09-20,trauma,,,,Finders were informed they should thoroughly wash anything that touched owl prior to handling any domestic waterfowl due to risk of transmission of avian flu/diseases.,Poor Prognosis,Found down in yard w/ right eye issue,,Bubo,virginianus
Found near 1542 Chilly Hollow Rd,2024-09-20 12:56:00,KS,Berryville,,Eastern Gray Squirrel,Clarke,T - Unknown Trauma,Euthanized in 24hr,2024-09-20,"suspect cat attack, B - Baby",,,,"Finder reports she was at her friend's house and they witnessed her friend's domestic cat running away from the injured EGS. There was no witnessed interaction, but highly suspect the cat got ahold of the EGS. Finder reports her friend's EGS is UTD on their rabies vaccination. Finder denies any direct contact/exposures to people, as they used a towel to cover the EGS and pick up, then place into a cardboard box, without any reported bare skin contact, nor any bites / licks / scratches. I recommended to finder that her friend have the cat suspected to have interaction w/ the EGS to follow up with their regular vet.",Poor Prognosis,Highly suspect cat attack,,Sciurus,carolinensis
233 Burnt Factory Rd,2024-09-20 13:05:00,KS,Stephenson,,Woodland Box Turtle,Frederick,T - Unknown Trauma,Died +24hr,2024-09-20,suspect HBV,,,,,Natural Death,Possible vehicle injury,,Terrapene,Carolina
34805 Osase St,2024-09-20 13:10:00,KS,Front Royal,,Eastern Gray Squirrel,Warren,D - Domestic animal attack,Released,2024-09-20,"cat attack, B - Baby",,,,"Finders deny any direct contact / exposures, as they were able to use a milk crate to scoop the EGS into a tote without any reported bare skin contact, nor any bites / licks / scratches by the EGS. Finder notes her cat did get to the EGS yesterday twice, but reports her cat is UTD on rabies vaccination. I advised she have her cat follow up with their regular vet.",Ready for release,"Cat got to him twice yesterday, leg looks injured",,Sciurus,carolinensis
Found in Berryville,2024-09-20 13:43:00,KS,Berryville,,Eastern Chipmunk,Clarke,D - Domestic animal attack,Released,2024-09-20,"B - Baby, dog attack",,,,"Rescuer reports he did hold/hand feed the chipmunk with bare hands, but denies any bites, licks, or scratches by the chipmunk. Rescuer reports his friend's dog was ""playing w/ the chipmunk"" but did not witness the interaction.",Ready for release,"Dog was ""playing"" with the chipmunk, possible eye injury",,Tamias,striatus
W. Parkins Mill Rd,2024-09-20 14:21:00,KS,Winchester,,Eastern Painted Turtle,Frederick,T - Unknown Trauma,Released,2024-09-20,suspect HBV,39.106925,-78.12383,,,Ready for release,"Found upside down in the middle of the road, bleeding",Hard,Chrysemys,Picta
9533 Fintry Street,2024-09-20 14:27:00,KS,Bristow,,Woodland Box Turtle,Prince William,T - Unknown Trauma,Euthanized in 24hr,2024-09-18,suspect HBV,,,,,Poor Prognosis,"Suspected HBV out front of house in neighborhood, unsure if injured so moved to side road, saw again on 9/20 with swollen face, so contained and brought to us",,Terrapene,Carolina
759 Boyds Mill Lane,2024-09-20 15:27:00,KS,Bentonville,,White-footed Mouse,Warren,B - Baby,Euthanized in 24hr,2024-09-20,"B - Baby, small, suspect cat attack",,,,"Finder denies owning any indoor/outdoor cats, nor any reported domestic animal interactions, but does have wooded area nearby with lots of animals/wildlife. No reported contact/exposures (used paper towels).",Poor Prognosis,"Baby suspected orphaned, found on the porch",,Peromyscus,leucopus
3207 Shenandoah Shores Rd,2024-09-20 15:41:00,KS,Front Royal,,Eastern Gray Squirrel,Warren,T - Unknown Trauma,Released,2024-09-20,B - Baby,,,,"Finder denies any direct contact/exposures, as she used a towel to wrap up the EGS and place into a cardboard box, then put cardboard box in a bird cage to transport here. She denies any interactions between the EGS and domestic animals.",Ready for release,"Found curled in a ball under pool steps, then witnessed limping not using one of the back legs",,Sciurus,carolinensis
39846 Thomas Mill Rd,2024-09-20 16:21:00,KS,Leesburg,,Woodland Box Turtle,Loudoun,H - Hit by Vehicle,Died in 24hr,2024-09-20,,,,,Transferred to us from Stream Valley Vet same day.,Natural Death,HBV this AM out front of finder's house,,Terrapene,Carolina
35267 Paxson Rd,2024-09-21 10:15:00,KS,Round Hill,,White-footed Mouse,Loudoun,T - Unknown Trauma,Euthanized in 24hr,2024-09-20,"B - Baby, small, orphan, suspect cat attack",,,,"Finder denies any direct contact / exposures (picked up gloved hands), nor any interactions with domestic animals.",Poor Prognosis,Baby found wedged in the door,,Peromyscus,leucopus
210 Pembridge Dr,2024-09-21 10:20:00,KS,Winchester,,Common Yellowthroat,Frederick,D - Domestic animal attack,Died in 24hr,2024-09-21,cat attack,,,,,Natural Death,Cat attack,,Geothlypis,trichas
11974 George Farm Dr,2024-09-21 11:14:00,KS,Lovettsville,,Eastern Cottontail,Loudoun,M - Human non-intentional,Died in 24hr,2024-09-21,"trapped, garden netting",,,,"Finder denies any direct contact / exposures (used a towel to wrap over ECT then scoop up and place into a cardboard box), nor any interactions between domestic animals and ECT.",Natural Death,Trapped in a soccer goal net,,Sylvilagus,floridanus
